id,customer_id,timestamp,question,category,sentiment,priority,department,answer,reference,satisfaction,status,notes
Q001,C103,2025-04-01 09:15:23,บริษัทของคุณให้บริการอะไรบ้าง?,ข้อมูลทั่วไป,เป็นกลาง,ต่ำ,ฝ่ายบริการลูกค้า,บริษัทของเราให้บริการจำหน่ายสินค้าอิเล็กทรอนิกส์และเครื่องใช้ไฟฟ้าพร้อมให้คำปรึกษาด้านเทคโนโลยี การติดตั้ง และบริการหลังการขาย,FAQ001,5,แก้ไขแล้ว,NULL
Q002,C132,2025-04-01 10:30:45,เวลาทำการของคุณคือเมื่อไร?,ข้อมูลทั่วไป,เป็นกลาง,ต่ำ,ฝ่ายบริการลูกค้า,เราเปิดให้บริการทุกวันจันทร์-อาทิตย์ ตั้งแต่เวลา 10:00 น. - 21:00 น. ในวันหยุดนักขัตฤกษ์อาจมีการเปลี่ยนแปลง โปรดตรวจสอบเวลาทำการล่าสุดบนเว็บไซต์หรือแอปพลิเคชันของเรา,FAQ002,5,แก้ไขแล้ว,NULL
Q003,C156,2025-04-01 13:45:10,มีสาขาอยู่ที่ไหนบ้าง?,ข้อมูลทั่วไป,เป็นกลาง,ต่ำ,ฝ่ายบริการลูกค้า,"เรามีสาขาให้บริการทั้งหมด 15 สาขาทั่วประเทศ โดยสาขาหลักตั้งอยู่ที่ศูนย์การค้าชั้นนำ ได้แก่ สยามพารากอน เซ็นทรัลเวิลด์ เซ็นทรัลลาดพร้าว เมกาบางนา เซ็นทรัลเชียงใหม่ และเซ็นทรัลภูเก็ต คุณสามารถค้นหาสาขาใกล้บ้านได้ที่เว็บไซต์ของเรา",FAQ003,4,แก้ไขแล้ว,NULL
Q004,C245,2025-04-01 10:45:12,สั่งสินค้าไปแล้ว 5 วัน ยังไม่ได้รับของเลย ทำไมส่งช้าจัง,การจัดส่ง,เชิงลบ,สูง,ฝ่ายโลจิสติกส์,ขออภัยในความล่าช้า ทางเราจะตรวจสอบสถานะการจัดส่งของคุณทันที กรุณาแจ้งหมายเลขคำสั่งซื้อเพื่อให้เราช่วยเหลือได้รวดเร็วขึ้น,KB005,2,กำลังดำเนินการ,ลูกค้าแสดงความไม่พอใจ ต้องให้ติดต่อกับเจ้าหน้าที่
Q005,C294,2025-04-02 13:40:54,วิธีติดตามพัสดุทำอย่างไร?,การจัดส่ง,เป็นกลาง,ต่ำ,ฝ่ายโลจิสติกส์,"คุณสามารถติดตามพัสดุได้โดยไปที่ 'คำสั่งซื้อของฉัน' และคลิกที่ 'ติดตามการจัดส่ง' หรือคุณสามารถใช้หมายเลขติดตามที่เราส่งให้ในอีเมลยืนยันการจัดส่ง",FAQ008,5,แก้ไขแล้ว,NULL
Q006,C422,2025-04-02 15:20:48,สั่งสินค้าผิด ต้องการยกเลิกคำสั่งซื้อด่วน,คำสั่งซื้อ,เชิงลบ,สูง,ฝ่ายการเงิน,"หากคำสั่งซื้อยังไม่ได้จัดส่ง คุณสามารถยกเลิกได้ทันทีโดยไปที่ 'คำสั่งซื้อของฉัน' และเลือก 'ยกเลิก' กรุณาแจ้งหมายเลขคำสั่งซื้อเพื่อให้เราช่วยเหลือได้รวดเร็วขึ้น",FAQ012,4,กำลังดำเนินการ,NULL
Q007,C178,2025-04-02 11:20:34,วิธีขอคืนเงินทำอย่างไรบ้าง?,การชำระเงิน,เป็นกลาง,ปานกลาง,ฝ่ายการเงิน,"คุณสามารถขอคืนเงินได้ภายใน 30 วันหลังจากการซื้อ โดยไปที่ 'คำสั่งซื้อของฉัน' และเลือก 'ขอคืนเงิน' สำหรับรายการที่ต้องการ",FAQ010,4,แก้ไขแล้ว,NULL
Q008,C311,2025-04-03 14:35:56,บัตรเครดิตถูกเรียกเก็บเงินซ้ำสำหรับรายการเดียวกัน,การชำระเงิน,เชิงลบ,สูง,ฝ่ายการเงิน,ขออภัยอย่างยิ่ง เราจะตรวจสอบและแก้ไขทันที กรุณาส่งหลักฐานการชำระเงินและหมายเลขคำสั่งซื้อเพื่อให้เราดำเนินการคืนเงินส่วนที่ซ้ำซ้อนโดยเร็วที่สุด,KB015,2,กำลังดำเนินการ,ลูกค้าแสดงความไม่พอใจ ต้องให้ติดต่อกับเจ้าหน้าที่
Q009,C238,2025-04-04 09:25:31,ขอใบเสร็จอิเล็กทรอนิกส์สำหรับการซื้อของเมื่อสัปดาห์ที่แล้ว,การชำระเงิน,เป็นกลาง,ปานกลาง,ฝ่ายการเงิน,"คุณสามารถดาวน์โหลดใบเสร็จอิเล็กทรอนิกส์ได้ที่ 'คำสั่งซื้อของฉัน' > เลือกคำสั่งซื้อที่ต้องการ > 'ใบเสร็จ/ใบกำกับภาษี' > 'ดาวน์โหลด' หากไม่พบ กรุณาแจ้งหมายเลขคำสั่งซื้อ",FAQ022,4,แก้ไขแล้ว,NULL
Q010,C156,2025-04-03 09:30:21,สินค้าที่ได้รับมีรอยขีดข่วน ต้องการเปลี่ยนใหม่,สินค้า,เชิงลบ,สูง,ฝ่ายบริการลูกค้า,ทางเราขออภัยอย่างยิ่ง กรุณาส่งรูปถ่ายสินค้าที่เสียหายและเราจะดำเนินการเปลี่ยนสินค้าใหม่ให้ทันที โดยไม่มีค่าใช้จ่ายเพิ่มเติม,KB012,3,กำลังดำเนินการ,ลูกค้าแสดงความไม่พอใจ ต้องให้ติดต่อกับเจ้าหน้าที่
Q011,C387,2025-04-04 15:35:51,ทำไมสินค้าที่ส่งมาไม่ตรงกับรูปในเว็บเลย รู้สึกถูกหลอก,สินค้า,เชิงลบ,สูง,ฝ่ายการตลาด,ขออภัยอย่างยิ่งสำหรับความผิดหวัง เราต้องการตรวจสอบเรื่องนี้ กรุณาส่งรูปถ่ายสินค้าที่ได้รับและรหัสสินค้าเพื่อเปรียบเทียบกับข้อมูลในระบบ ทางเรายินดีคืนเงินหรือเปลี่ยนสินค้าตามความต้องการ,KB028,1,กำลังดำเนินการ,ลูกค้าแสดงความไม่พอใจมาก ต้องให้ติดต่อกับเจ้าหน้าที่โดยด่วน
Q012,C243,2025-04-05 10:05:27,ผลิตภัณฑ์ที่ซื้อไปใช้แล้วแพ้ สามารถคืนได้ไหม?,สินค้า,เชิงลบ,ปานกลาง,ฝ่ายบริการลูกค้า,สำหรับผลิตภัณฑ์ที่ก่อให้เกิดการแพ้ คุณสามารถคืนได้ภายใน 14 วันพร้อมใบเสร็จ กรุณาถ่ายรูปอาการแพ้และส่งมาพร้อมกับหมายเลขคำสั่งซื้อเพื่อดำเนินการต่อไป,KB022,4,แก้ไขแล้ว,NULL
Q013,C392,2025-04-05 14:05:45,ขอเช็คสถานะการซ่อมโทรศัพท์หน่อยครับ หมายเลขติดตาม R48932,บริการซ่อม,เป็นกลาง,ปานกลาง,ฝ่ายเทคนิค,จากการตรวจสอบ โทรศัพท์ของคุณอยู่ในขั้นตอนการซ่อมและคาดว่าจะเสร็จภายในวันพรุ่งนี้ ทางเราจะส่งอีเมลแจ้งเมื่อดำเนินการเสร็จสิ้น,KB023,4,กำลังดำเนินการ,NULL
Q014,C254,2025-04-06 09:30:22,อยากทราบว่ามีบริการติดตั้งเครื่องใช้ไฟฟ้าหรือไม่?,บริการเสริม,เป็นกลาง,ปานกลาง,ฝ่ายบริการลูกค้า,เรามีบริการติดตั้งสำหรับสินค้าประเภทเครื่องใช้ไฟฟ้าขนาดใหญ่ เช่น ทีวี ตู้เย็น เครื่องซักผ้า เครื่องปรับอากาศ โดยทีมช่างผู้เชี่ยวชาญ ในการสั่งซื้อสินค้า คุณสามารถเลือกบริการเสริมการติดตั้งได้ ค่าบริการติดตั้งขึ้นอยู่กับประเภทสินค้าและความซับซ้อนในการติดตั้ง,FAQ035,5,แก้ไขแล้ว,NULL
Q015,C334,2025-04-06 11:50:19,แอพเด้งออกตลอด ใช้งานไม่ได้เลย,เทคนิค,เชิงลบ,สูง,ฝ่าย IT,ขออภัยสำหรับปัญหาที่เกิดขึ้น กรุณาลองอัพเดทแอพเป็นเวอร์ชันล่าสุด หรือลองถอนการติดตั้งและติดตั้งใหม่ หากยังมีปัญหา กรุณาแจ้งรุ่นของอุปกรณ์และระบบปฏิบัติการที่คุณใช้,KB045,2,กำลังดำเนินการ,ลูกค้าแสดงความไม่พอใจ ต้องให้ติดต่อกับเจ้าหน้าที่
Q016,C103,2025-04-07 08:45:11,ต้องการยกเลิกการสมัครสมาชิกรายเดือน,สมาชิก,เป็นกลาง,ปานกลาง,ฝ่ายบัญชี,"คุณสามารถยกเลิกการสมัครได้ที่ 'การตั้งค่าบัญชี' > 'การสมัครของฉัน' > 'ยกเลิกการสมัคร' การเปลี่ยนแปลงจะมีผลในรอบบิลถัดไป",FAQ018,4,แก้ไขแล้ว,NULL
Q017,C275,2025-04-07 10:15:33,จะเพิ่มที่อยู่จัดส่งใหม่ทำยังไง?,บัญชี,เป็นกลาง,ต่ำ,ฝ่ายบัญชี,"คุณสามารถเพิ่มที่อยู่จัดส่งใหม่ได้โดยไปที่ 'บัญชีของฉัน' > 'ที่อยู่' > 'เพิ่มที่อยู่ใหม่' และกรอกข้อมูลให้ครบถ้วน",FAQ002,5,แก้ไขแล้ว,NULL
Q018,C267,2025-04-08 09:50:17,ต้องการเปลี่ยนอีเมลที่ใช้ในบัญชี,บัญชี,เป็นกลาง,ปานกลาง,ฝ่ายบัญชี,"คุณสามารถเปลี่ยนอีเมลได้โดยไปที่ 'การตั้งค่าบัญชี' > 'ข้อมูลส่วนตัว' > 'แก้ไขอีเมล' เมื่อบันทึกแล้ว ระบบจะส่งลิงก์ยืนยันไปยังอีเมลใหม่ คุณต้องคลิกลิงก์นี้เพื่อยืนยันการเปลี่ยนแปลง",FAQ005,4,แก้ไขแล้ว,NULL
Q019,C412,2025-04-08 10:10:56,รู้สึกประทับใจกับพนักงานที่ร้านสาขาเซ็นทรัลมากครับ,ข้อเสนอแนะ,เชิงบวก,ต่ำ,ฝ่ายบริหาร,ขอบคุณสำหรับคำชมเชย เรายินดีที่คุณได้รับประสบการณ์ที่ดี และจะส่งต่อคำชมเชยนี้ไปยังทีมที่สาขาเซ็นทรัลทันที,KB001,5,แก้ไขแล้ว,NULL
